sample,link
TCGA-50-6673,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-50-6673-01Z-00-DX1"">TCGA-50-6673-01Z-00-DX1</a>"
TCGA-55-6543,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-55-6543-01Z-00-DX1"">TCGA-55-6543-01Z-00-DX1</a>"
TCGA-55-6982,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-55-6982-01Z-00-DX1"">TCGA-55-6982-01Z-00-DX1</a>"
TCGA-55-6987,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-55-6987-01Z-00-DX1"">TCGA-55-6987-01Z-00-DX1</a>"
TCGA-55-7724,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-55-7724-01Z-00-DX1"">TCGA-55-7724-01Z-00-DX1</a>"
TCGA-55-7910,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-55-7910-01Z-00-DX1"">TCGA-55-7910-01Z-00-DX1</a>"
TCGA-55-7913,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-55-7913-01Z-00-DX1"">TCGA-55-7913-01Z-00-DX1</a>"
TCGA-55-8089,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-55-8089-01Z-00-DX1"">TCGA-55-8089-01Z-00-DX1</a>"
TCGA-55-A490,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-55-A490-01Z-00-DX1"">TCGA-55-A490-01Z-00-DX1</a>"
TCGA-56-7222,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-56-7222-01Z-00-DX1"">TCGA-56-7222-01Z-00-DX1</a>"
